Object Name,Event Display Name,Property Type,Property Group Names,Event Property Name,Property Description,Property Value Type,Property Schema Status,Property Required,Property Is Array,Property First Seen,Property Last Seen
[Guides-Surveys] Guide Engaged,,Event Property,,[Guides-Surveys] Variant ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Engaged,,Event Property,,[Guides-Surveys] Version,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Amplitude] Session Replay ID,,any,UNEXPECTED,False,False,2023-12-15,2025-06-07
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Is From Debug Mode,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Is Last Step,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Key,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Lifecycle UUID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Page.domain,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Page.path,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Page.title,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Step ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Step Index,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Step Title,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Tags,,any,UNEXPECTED,False,False,2025-06-05,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Type,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Variant ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Rage Closed,,Event Property,,[Guides-Surveys] Version,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Amplitude] Session Replay ID,,any,UNEXPECTED,False,False,2023-12-15,2025-06-07
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Is From Debug Mode,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Is Last Step,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Key,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Lifecycle UUID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Page.domain,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Page.path,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Page.title,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Step ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Step Index,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Step Title,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Tags,,any,UNEXPECTED,False,False,2025-06-05,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Type,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Variant ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Version,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Step Completed,,Event Property,,[Guides-Surveys] Was Completed Via CTA,,any,UNEXPECTED,False,False,2025-06-05,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Amplitude] Session Replay ID,,any,UNEXPECTED,False,False,2023-12-15,2025-06-07
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Is From Debug Mode,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Is Last Step,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Key,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Lifecycle UUID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Page.domain,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Page.path,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Page.query,,any,UNEXPECTED,False,False,2025-06-06,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Page.title,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Source.properties.triggerType,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Source.type,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Step ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Step Index,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Step Title,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Tags,,any,UNEXPECTED,False,False,2025-06-05,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Type,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Viewed,,Event Property,,[Guides-Surveys] Variant ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
